,movie_title,genres,audience_rating,tomatometer_rating
0,percy jackson & the olympians: the lightning thief,action & adventure,53.0,49.0
1,percy jackson & the olympians: the lightning thief,comedy,53.0,49.0
2,percy jackson & the olympians: the lightning thief,drama,53.0,49.0
3,percy jackson & the olympians: the lightning thief,science fiction & fantasy,53.0,49.0
4,please give,comedy,64.0,87.0
5,10,comedy,53.0,67.0
6,10,romance,53.0,67.0
7,12 angry men (twelve angry men),classics,97.0,100.0
8,12 angry men (twelve angry men),drama,97.0,100.0
9,"20,000 leagues under the sea",action & adventure,74.0,89.0
10,"20,000 leagues under the sea",drama,74.0,89.0
11,"20,000 leagues under the sea",kids & family,74.0,89.0
12,"10,000 b.c.",action & adventure,37.0,8.0
13,"10,000 b.c.",classics,37.0,8.0
14,"10,000 b.c.",drama,37.0,8.0
15,the 39 steps,action & adventure,86.0,96.0
16,the 39 steps,classics,86.0,96.0
17,the 39 steps,mystery & suspense,86.0,96.0
18,3:10 to yuma,classics,79.0,96.0
19,3:10 to yuma,drama,79.0,96.0
20,3:10 to yuma,western,79.0,96.0
21,charly (a heartbeat away),comedy,87.0,20.0
22,charly (a heartbeat away),drama,87.0,20.0
23,charly (a heartbeat away),romance,87.0,20.0
24,abraham lincoln,classics,40.0,82.0
25,abraham lincoln,drama,40.0,82.0
26,dark water,art house & international,66.0,80.0
27,dark water,horror,66.0,80.0
28,dark water,mystery & suspense,66.0,80.0
29,the accused,drama,79.0,91.0
30,the accused,mystery & suspense,79.0,91.0
31,the lost city,drama,64.0,25.0
32,the breaking point,drama,86.0,100.0
33,adam's rib,classics,86.0,96.0
34,adam's rib,comedy,86.0,96.0
35,adam's rib,romance,86.0,96.0
36,the bridge of san luis rey,art house & international,35.0,4.0
37,the bridge of san luis rey,drama,35.0,4.0
38,the bridge of san luis rey,faith & spirituality,35.0,4.0
39,the prowler (cost of living ),drama,86.0,100.0
40,the prowler (cost of living ),mystery & suspense,86.0,100.0
41,criminal,drama,57.0,69.0
42,criminal,mystery & suspense,57.0,69.0
43,the adventures of mark twain,action & adventure,82.0,80.0
44,the adventures of mark twain,animation,82.0,80.0
45,the adventures of mark twain,kids & family,82.0,80.0
46,deep blue,documentary,80.0,67.0
47,deep blue,special interest,80.0,67.0
48,the adventures of robin hood,action & adventure,89.0,100.0
49,the adventures of robin hood,classics,89.0,100.0
50,the adventures of robin hood,romance,89.0,100.0
51,man hunt,classics,75.0,92.0
52,man hunt,drama,75.0,92.0
53,man hunt,mystery & suspense,75.0,92.0
54,dead end,comedy,60.0,75.0
55,dead end,horror,60.0,75.0
